100:   100   S0(e= 51, idx=102) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
101:   101   S0(e= 51, idx=102) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
102:   102   S0(e= 51, idx=102) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
103:   103   S0(e= 51, idx=102) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
104:   104   S0(e= 83, idx=101) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
105:   105   S0(e= 83, idx=101) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
106:   106   S0(e= 83, idx=101) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
107:   107   S0(e= 83, idx=101) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
108:   108   S0(e= 19, idx=100) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
109:   109   S0(e= 19, idx=100) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
110:   110   S0(e= 19, idx=100) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
111:   111   S0(e= 19, idx=100) | S1(e= 38, idx= 50) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
112:   112   S0(e= 99, idx= 99) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
113:   113   S0(e= 99, idx= 99) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
114:   114   S0(e= 99, idx= 99) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
115:   115   S0(e= 99, idx= 99) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
116:   116   S0(e= 35, idx= 98) | S1(e= 70, idx= 49) | S2(e= 12, idx= 24) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
